validation_mode,level,universe,ticker,window,window_weeks,start_date,end_date,strategy,final_value,total_contributed,total_invested,cash_remaining,return_on_contributed_pct,return_on_invested_pct,cagr_on_contributed_pct,max_drawdown_pct,volatility_pct,sharpe_ratio,calmar_ratio,buy_actions,average_buy_amount
true_weekly_contribution,ticker,all_symbols,NVDA,rolling_52w_052_104,52,2022-06-13,2023-06-05,simple_dip_buy,10713.26,5200.0,4696.87,503.13,106.02,128.09,106.02,5.98,124.0,4.442,17.734,52,90.23
true_weekly_contribution,ticker,all_symbols,NVDA,rolling_52w_052_104,52,2022-06-13,2023-06-05,risk_adjusted_v2,10132.08,5200.0,4211.91,988.09,94.85,140.56,94.85,4.16,122.55,4.429,22.821,52,80.92
true_weekly_contribution,ticker,all_symbols,NVDA,rolling_52w_052_104,52,2022-06-13,2023-06-05,hybrid_70_30,10990.25,5200.0,5051.47,148.53,111.35,117.57,111.35,6.46,124.37,4.455,17.239,52,97.05
true_weekly_contribution,ticker,all_symbols,NVDA,rolling_52w_052_104,52,2022-06-13,2023-06-05,hybrid_80_20,11029.79,5200.0,5102.1,97.9,112.11,116.18,112.11,6.53,124.42,4.457,17.173,52,98.02
true_weekly_contribution,ticker,all_symbols,NVDA,rolling_52w_052_104,52,2022-06-13,2023-06-05,trend_aware_hybrid,11108.85,5200.0,5200.0,-0.0,113.63,113.63,113.63,6.53,124.48,4.462,17.406,52,99.9
true_weekly_contribution,portfolio,all_symbols,all_symbols,rolling_52w_052_104,52,2022-06-13,2023-06-05,fixed_weekly_dca,41293.14,31200.0,31200.0,0.0,32.35,32.35,32.35,1.96,119.27,4.16,16.526,312,99.9
true_weekly_contribution,portfolio,all_symbols,all_symbols,rolling_52w_052_104,52,2022-06-13,2023-06-05,simple_dip_buy,40853.82,31200.0,29926.83,1273.17,30.94,36.51,30.94,1.79,119.31,4.149,17.246,312,95.82
true_weekly_contribution,portfolio,all_symbols,all_symbols,rolling_52w_052_104,52,2022-06-13,2023-06-05,risk_adjusted_v2,40126.76,31200.0,29041.53,2158.47,28.61,38.17,28.61,1.56,119.09,4.138,18.29,312,92.99
true_weekly_contribution,portfolio,all_symbols,all_symbols,rolling_52w_052_104,52,2022-06-13,2023-06-05,hybrid_70_30,41164.51,31200.0,30833.29,366.71,31.94,33.51,31.94,1.91,119.28,4.157,16.721,312,98.73
true_weekly_contribution,portfolio,all_symbols,all_symbols,rolling_52w_052_104,52,2022-06-13,2023-06-05,hybrid_80_20,41208.87,31200.0,30962.73,237.27,32.08,33.09,32.08,1.93,119.28,4.158,16.652,312,99.14
true_weekly_contribution,portfolio,all_symbols,all_symbols,rolling_52w_052_104,52,2022-06-13,2023-06-05,trend_aware_hybrid,41301.6,31200.0,31195.87,4.13,32.38,32.39,32.38,1.95,119.28,4.16,16.565,312,99.89
