ticker,date,close,weekly_return,momentum_4w,momentum_12w,volatility_12w,drawdown_from_52w_high,sma_10,sma_20,rsi_14,macd,macd_signal,macd_histogram
BYDDY,2024-04-01,8.49,0.00334839,0.06658291,-0.0545657,0.06458344,0.27775415,8.2363333,8.56516665,45.76878759,-0.35768212,-0.44909313,0.09141101
BYDDY,2024-04-08,8.763333,0.0321947,-0.01572445,0.04015822,0.06243644,0.25450166,8.3758333,8.5083333,48.629357,-0.31208623,-0.42169175,0.10960552
BYDDY,2024-04-15,8.55,-0.02434382,-0.05785124,0.0409903,0.06240256,0.27264994,8.447,8.49491665,46.56486966,-0.28982442,-0.39531829,0.10549386
BYDDY,2024-04-22,9.053333,0.05886936,0.0699231,0.2286813,0.0538304,0.22983131,8.5406666,8.49924995,51.76763568,-0.22892808,-0.36204024,0.13311217
BYDDY,2024-04-29,9.691667,0.07050818,0.1415391,0.23644492,0.0543754,0.17552812,8.726,8.5465833,57.42874027,-0.12768717,-0.31516963,0.18748246
BYDDY,2024-05-06,9.463333,-0.02355983,0.07987828,0.16591367,0.05542562,0.19495253,8.8411666,8.58049995,54.94449701,-0.06512692,-0.26516109,0.20003417
BYDDY,2024-05-13,9.553333,0.00951039,0.11734889,0.21879652,0.05334129,0.18729621,9.0004999,8.59758325,55.75689169,-0.00819081,-0.21376703,0.20557622
BYDDY,2024-05-20,8.9,-0.06838796,-0.01693664,0.070784,0.05685466,0.24287537,9.0001666,8.59783325,48.86840031,-0.01560713,-0.17413505,0.15852792
BYDDY,2024-05-27,9.351667,0.0507491,-0.03508168,0.17483254,0.05582949,0.20445198,9.0278333,8.6164166,53.17533869,0.01479063,-0.13634991,0.15114055
BYDDY,2024-06-03,9.605,0.02708961,0.0149701,0.07880948,0.04573441,0.18290089,9.1421666,8.6754166,55.44237959,0.05864689,-0.09735055,0.15599745
BYDDY,2024-06-10,9.7,0.00989068,0.01535244,0.06887052,0.045591,0.17481923,9.2631666,8.74974995,56.29688271,0.09991722,-0.057897,0.15781422
BYDDY,2024-06-17,10.065,0.03762887,0.13089888,0.18948193,0.03979137,0.14376861,9.3933333,8.8845833,59.50977244,0.16022967,-0.01427167,0.17450133
