task,target,model,importance_type,feature,value
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_SBUX,0.0
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_TCEHY,0.0
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_TM,0.0
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_TSM,0.0
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_UNH,0.0
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_V,0.0
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_WMT,0.0
classification,forward_4w_positive,logistic_regression,coefficient,numeric__weekly_return,0.0200226479
classification,forward_4w_positive,logistic_regression,coefficient,numeric__momentum_4w,-0.017204316
classification,forward_4w_positive,logistic_regression,coefficient,numeric__momentum_12w,0.0322292537
classification,forward_4w_positive,logistic_regression,coefficient,numeric__volatility_12w,-0.018747285
classification,forward_4w_positive,logistic_regression,coefficient,numeric__drawdown_from_52w_high,0.061757769
classification,forward_4w_positive,logistic_regression,coefficient,numeric__sma_10_distance,-0.0947973294
classification,forward_4w_positive,logistic_regression,coefficient,numeric__sma_20_distance,0.0742268384
classification,forward_4w_positive,logistic_regression,coefficient,numeric__rsi_14,0.0365598866
classification,forward_4w_positive,logistic_regression,coefficient,numeric__macd,-0.0254561488
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_AAPL,0.1566152058
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_AMD,-0.1206351636
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_AMZN,0.2829951713
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_ASML,0.0558545892
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_AVGO,0.1826881107
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_AXP,-0.0024841471
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_BABA,-0.3776031507
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_BAC,-0.1168919004
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_BYDDY,-0.2643347759
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_CAT,0.0519644106
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_COST,0.3367046264
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_DE,0.0990581124
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_GE,-0.3682086412
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_GOOGL,0.164610446
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_HD,0.059573498
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_HON,0.0248237886
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_INTC,-0.1947227465
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_JNJ,-0.0974254929
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_JPM,0.0664691022
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_KO,-0.1350539349
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_MA,0.3150223499
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_MCD,0.1134209326
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_META,0.1898953945
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_MRK,-0.0860150736
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_MSFT,0.2669153553
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_MU,-0.2821307517
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_NKE,-0.1465483921
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_NVDA,0.3267941271
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_PEP,-0.0194167823
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_PG,0.0240087076
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_QCOM,-0.3238588104
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_SBUX,-0.1181026962
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_TCEHY,-0.2498213834
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_TM,-0.2370394897
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_TSM,0.0093061827
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_UNH,0.1399906651
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_V,0.2631944574
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_WMT,0.0135661078
classification,forward_4w_positive,random_forest_classifier,feature_importance,numeric__weekly_return,0.0600338878
classification,forward_4w_positive,random_forest_classifier,feature_importance,numeric__momentum_4w,0.0769533292
classification,forward_4w_positive,random_forest_classifier,feature_importance,numeric__momentum_12w,0.0902809408
classification,forward_4w_positive,random_forest_classifier,feature_importance,numeric__volatility_12w,0.1252624982
classification,forward_4w_positive,random_forest_classifier,feature_importance,numeric__drawdown_from_52w_high,0.0590597992
classification,forward_4w_positive,random_forest_classifier,feature_importance,numeric__sma_10_distance,0.0690716249
